--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.2
15/04/2020 21:26:41
--------------------------------------------------------------------------------------------------
Carpeta 20_gi_40_25m1_15m2
Número de hilos                              10
Semilla población                         1.324
Semilla simulación                          651
Potencia para fin de infección             3,00

Número de individuos                     20.000
Radio                                     1.704
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    49 con        3.980 individuos,            0 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00          800        800,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        3.000       3000,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       12.400      12400,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        1.000       1000,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        2.800       2800,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      54,15       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,96       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19989         11          0          0          0          0      53,98       0,24        0,0       0,00          1          0          0          0          0          0          0          0          1          0          0       0,00
  5      19987         13          0          0          0          0      54,01       0,80        0,0       0,00          3          0          0          0          0          0          0          0          3          0          0       0,00
  6      19987         13          0          0          0          0      54,01       0,85        0,0       0,00          3          0          0          0          0          0          0          0          3          0          0       0,00
  7      19987         13          0          0          0          0      54,00       0,86        0,0       0,00          3          0          0          0          0          0          0          0          3          0          0       0,00
  8      19987         13          0          0          0          0      54,04       1,17        0,0       0,00          3          0          0          0          0          0          0          0          3          0          0       0,00
  9      19986         14          0          0          0          0      54,04       1,25        0,0       0,00          4          0          0          0          0          0          0          0          4          0          0       0,00
 10      19985         15          0          0          0          0      54,02       1,41        0,0       0,00          5          0          0          0          0          0          0          0          5          0          0       0,00
 11      19984         16          0          0          0          0      53,98       1,33        0,0       0,00          6          0          0          0          0          0          1          0          6          0          0       0,00
 12      19951         49          0          0          0          0      54,01       1,00        0,0       0,00          6         33         33          0          0          0          3          0         39          0          0       0,00
 13      19947         53          0          0          0          0      54,02       0,95        0,0       0,00          6         37         37          0          0          0          3          0         43          0          0       0,00
 14      19944         56          0          0          0          0      54,02       0,86        0,0       0,00          7         39         39          0          0          0          3          0         46          0          0       0,00
 15      19944         56          0          0          0          0      54,03       1,14        0,0       0,00          7         39         39          0          0          0          3          0         46          0          0       0,00
 16      19941         59          0          0          0          0      54,04       1,56        0,0       0,00         10         39         39          0          0          0          4          0         49          0          0       0,00
 17      19936         64          0          0          0          0      54,03       1,60        0,0       0,00         15         39         39          0          0          0          5          0         54          0          0       0,00
 18      19934         66          0          0          0          0      54,03       1,59        0,0       0,00         17         39         39          0          0          0          6          1         56          0          0       0,00
 19      19924         76          0          0          0          0      54,03       1,56        0,0       0,00         21         45         45          0          0          0         39          4         66          0          0       0,00
 20      19917         83          0          0          0          0      54,02       1,61        0,0       0,00         26         47         47          0          0          0         43          6         73          0          0       0,00
