--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.8
20/04/2020 11:07:25
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_m
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          661
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            4 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       3,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       1,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      25,00      30,00      99,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    5800,00      30,00      96,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2500,00      30,00      81,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,81       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,86       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,89       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49982         18          0          0          0          0      53,88       0,48        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      49976         24          0          0          0          0      53,89       0,51        0,0       0,00          3         11         11          0          0          0          0          0         24          0          0       0,00
  6      49970         30          0          0          0          0      53,91       0,44        0,0       0,00          4         16         16          0          0          0          0          0         30          0          0       0,00
  7      49947         53          0          0          0          0      53,93       0,54        0,0       0,00          6         37         37          0          0          0          0          0         53          0          0       0,00
  8      49920         80          0          0          0          0      53,94       0,53        0,0       0,00          7         63         63          0          0          0          0          0         80          0          0       0,00
  9      49900        100          0          0          0          0      53,95       0,66        0,0       0,00          8         82         82          0          0          0          0          0        100          0          0       0,00
 10      49826        174          0          0          0          0      53,94       0,62        0,0       0,00         14        150        150          0          0          0          0          0        174          0          0       0,00
 11      49747        253          0          0          0          0      53,95       0,65        0,0       0,00         23        220        220          0          0          0          8          0        253          0          0       0,00
 12      49691        309          0          0          0          0      53,96       0,70        0,0       0,00         29        270        270          0          0          0         14          2        309          0          0       0,00
 13      49622        378          0          0          0          0      53,96       0,71        0,0       0,00         41        327        327          0          0          0         20          2        378          0          0       0,00
 14      49478        522          0          0          0          0      53,97       0,75        0,0       0,00         58        454        454          0          0          0         43          5        522          0          0       0,00
 15      49360        639          0          1          0          0      53,97       0,78        7,0       3,00         79        551        550          1          0          0         69          7        639          1          0       3,00
 16      49304        694          0          2          0          0      53,97       0,84        9,0       1,50        114        572        571          1          0          0         88          8        694          2          0       1,50
 17      49198        799          0          3          0          0      53,97       0,94        9,3       3,00        157        635        633          2          0          0        161         14        799          3          0       3,00
 18      48908       1088          0          4          0          0      53,97       1,04        9,8       3,25        216        866        863          3          0          0        239         22       1088          4          0       3,25
 19      48799       1194          0          7          0          0      53,96       1,08       10,3       2,29        264        927        922          5          0          0        293         32       1195          6          0       2,50
 20      48677       1316          0          7          0          0      53,97       1,13       10,3       2,29        309       1004        999          5          0          0        362         38       1317          6          0       2,50
 21      48536       1455          0          9          0          0      53,96       1,22       11,0       2,22        384       1070       1063          7          0          0        504         51       1456          8          0       2,38
 22      48371       1614          0         15          0          0      53,97       1,25       12,7       3,00        444       1175       1164         11          0          0        616         64       1615         14          0       3,14
 23      48189       1792          0         19          0          0      53,97       1,29       12,1       2,63        528       1273       1259         14          0          0        669         67       1793         18          0       2,72
 24      48046       1930          0         23          0          1      53,97       1,34       11,9       2,29        605       1339       1321         18          0          0        770         75       1931         22          1       2,35
 25      47803       2166          0         30          0          1      53,97       1,34       11,9       2,29        691       1496       1471         25          0          0       1053        111       2167         29          1       2,33
