--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.5
15/04/2020 10:28:56
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_D30b
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          663
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      54,06       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      54,01       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      54,01       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49989         11          0          0          0          0      54,00       0,68        0,0       0,00          0          1          1          0          0          0          0          0         11          0          0       0,00
  5      49986         14          0          0          0          0      54,01       1,29        0,0       0,00          1          3          3          0          0          0          0          0         14          0          0       0,00
  6      49982         18          0          0          0          0      54,00       1,25        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  7      49977         23          0          0          0          0      53,99       1,20        0,0       0,00          3         10         10          0          0          0          0          0         23          0          0       0,00
  8      49970         30          0          0          0          0      54,00       1,00        0,0       0,00          4         16         16          0          0          0          0          0         30          0          0       0,00
  9      49955         45          0          0          0          0      53,99       1,07        0,0       0,00          7         28         28          0          0          0          0          0         45          0          0       0,00
 10      49908         92          0          0          0          0      54,01       0,92        0,0       0,00          9         73         73          0          0          0          0          0         92          0          0       0,00
 11      49870        130          0          0          0          0      54,02       0,94        0,0       0,00         13        107        107          0          0          0          1          0        130          0          0       0,00
 12      49840        160          0          0          0          0      54,02       0,85        0,0       0,00         15        135        135          0          0          0          4          0        160          0          0       0,00
 13      49795        205          0          0          0          0      54,02       0,85        0,0       0,00         28        167        167          0          0          0          8          1        205          0          0       0,00
 14      49748        252          0          0          0          0      54,03       0,99        0,0       0,00         44        198        198          0          0          0         13          1        252          0          0       0,00
 15      49656        344          0          0          0          0      54,02       0,97        0,0       0,00         63        271        271          0          0          0         20          2        344          0          0       0,00
 16      49626        373          0          1          0          0      54,02       0,98       11,0       7,00         75        289        288          1          0          0         34          4        373          1          0       7,00
 17      49601        398          0          1          0          0      54,03       1,02       11,0       7,00         93        296        295          1          0          0         81         10        398          1          0       7,00
 18      49490        506          0          3          0          1      54,03       1,09       12,3       4,25        115        385        383          1          1          0        117         15        507          2          1       3,00
 19      49440        555          0          4          0          1      54,03       1,14       13,4       4,00        141        409        407          1          1          0        147         16        557          2          1       3,00
 20      49294        700          0          5          0          1      54,03       1,14       13,5       4,67        170        526        523          2          1          0        191         23        702          3          1       4,25
