Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gi\s001.log                                       104,42   1 ok
F:\Contagio\50_gi\s002.log                                        38,05   1 ok
F:\Contagio\50_gi\s003.log                                       110,20   1 ok
F:\Contagio\50_gi\s004.log                                       114,36   1 ok
F:\Contagio\50_gi\s005.log                                        82,14   1 ok
F:\Contagio\50_gi\s006.log                                        57,42   1 ok
F:\Contagio\50_gi\s007.log                                       177,81   1 ok
F:\Contagio\50_gi\s008.log                                        89,33   1 ok
F:\Contagio\50_gi\s009.log                                        59,41   1 ok
F:\Contagio\50_gi\s010.log                                       262,14   1 
F:\Contagio\50_gi\s011.log                                       122,77   1 ok
F:\Contagio\50_gi\s012.log                                        55,76   1 ok
F:\Contagio\50_gi\s013.log                                        71,75   1 ok
F:\Contagio\50_gi\s014.log                                        87,34   1 ok
F:\Contagio\50_gi\s015.log                                        69,74   1 ok
F:\Contagio\50_gi\s016.log                                        69,19   1 ok
F:\Contagio\50_gi\s017.log                                        76,36   1 ok
F:\Contagio\50_gi\s018.log                                        47,62   1 ok
F:\Contagio\50_gi\s019.log                                        80,76   1 ok
F:\Contagio\50_gi\s020.log                                       162,39   1 ok
F:\Contagio\50_gi\s021.log                                        51,69   1 ok
F:\Contagio\50_gi\s022.log                                        37,55   1 ok
F:\Contagio\50_gi\s023.log                                       358,58   1 
F:\Contagio\50_gi\s024.log                                        43,69   1 ok
F:\Contagio\50_gi\s025.log                                        62,88   1 ok
F:\Contagio\50_gi\s026.log                                       135,59   1 ok
F:\Contagio\50_gi\s027.log                                        88,78   1 ok
F:\Contagio\50_gi\s028.log                                       504,44   1 
F:\Contagio\50_gi\s029.log                                        63,65   1 ok
F:\Contagio\50_gi\s030.log                                        79,42   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x     112,17  =     224,35
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49978         21          0          0          0          0      53,98       0,45        0,0       0,00          1         10         10          0          0          0          0          0         21          0          0       0,00
  5      49973         26          0          0          0          0      53,99       0,58        0,0       0,00          1         14         14          0          0          0          0          0         26          0          0       0,00
  6      49969         30          0          0          0          0      53,99       0,65        0,0       0,00          3         17         17          0          0          0          0          0         30          0          0       0,00
  7      49955         44          0          0          0          0      53,99       0,75        0,0       0,00          5         29         29          0          0          0          0          0         44          0          0       0,00
  8      49936         63          0          0          0          0      53,99       0,79        0,3       0,00          7         45         45          0          0          0          0          0         63          0          0       0,00
  9      49916         83          0          0          0          0      53,99       0,82        0,9       0,37         10         63         63          0          0          0          0          0         83          0          0       0,00
 10      49879        120          0          0          0          0      53,99       0,85        0,9       0,37         14         96         96          0          0          0          0          0        120          0          0       0,00
 11      49835        164          0          0          0          0      53,99       0,87        1,2       0,81         20        134        134          0          0          0         11          1        164          0          0       0,00
 12      49791        207          0          0          0          0      53,99       0,87        1,5       1,11         27        170        170          0          0          0         16          1        208          0          0       0,30
 13      49740        258          0          0          0          0      53,99       0,92        2,2       1,78         39        209        209          0          0          0         20          1        259          0          0       0,41
 14      49688        310          0          0          0          0      53,99       0,98        2,5       1,85         53        247        247          0          0          0         34          3        311          0          0       0,48
 15      49625        373          0          0          0          0      53,99       1,04        4,5       3,01         69        294        294          0          0          0         53          4        374          0          0       0,56
 16      49552        446          0          1          0          0      53,99       1,09        7,8       3,73         90        346        346          0          0          0         73          6        446          0          0       1,30
 17      49477        520          0          1          0          0      53,99       1,12        9,1       4,03        114        398        397          0          0          0        109         10        521          0          0       1,65
 18      49395        601          0          2          0          0      53,99       1,16        9,7       2,94        141        452        450          1          0          0        153         14        602          1          0       1,57
 19      49278        717          0          3          0          0      53,99       1,19       11,8       2,90        174        536        534          2          0          0        195         18        718          2          0       1,92
 20      49154        839          0          5          0          0      53,99       1,22       12,1       3,42        210        625        621          3          0          0        245         23        841          3          0       3,09
 21      49021        971          0          6          0          0      53,99       1,23       12,4       3,26        250        718        714          4          0          0        296         28        973          4          0       2,89
 22      48864       1125          0          8          0          0      53,99       1,25       12,8       3,17        294        830        824          5          0          0        357         34       1127          6          0       2,83
 23      48693       1293          0         11          0          1      53,99       1,26       13,0       3,04        347        949        940          7          1          0        427         40       1296          9          1       2,89
 24      48499       1483          0         15          0          1      53,99       1,28       13,2       2,97        405       1085       1073         10          1          0        498         46       1486         12          1       2,80
 25      48288       1688          0         20          0          2      53,99       1,29       13,7       3,08        470       1230       1214         14          1          0        575         54       1691         17          2       2,98
 26      48042       1926          0         27          0          2      53,99       1,30       14,2       2,86        546       1400       1378         19          2          0        685         64       1930         23          2       2,73
 27      47769       2191          0         35          0          4      53,99       1,30       14,6       2,65        632       1588       1560         25          2          0        801         76       2195         30          4       2,49
 28      47467       2483          0         44          0          5      53,99       1,31       14,8       2,45        724       1798       1762         32          3          0        924         89       2488         39          5       2,27
 29      47143       2794          0         55          0          6      53,99       1,32       15,1       2,31        832       2014       1968         41          4          0       1068        102       2799         50          6       2,11
 30      46781       3140          0         68          0          8      53,99       1,33       15,4       2,28        950       2257       2199         52          5          0       1225        118       3146         63          8       2,10
 31      46416       3487          0         85          0         10      53,99       1,34       15,8       2,24       1082       2490       2418         64          7          0       1401        136       3493         79         10       2,09
 32      46004       3875          0        107          0         13      53,99       1,34       16,5       2,29       1228       2757       2669         78          9          0       1591        156       3885         97         13       2,06
 33      45577       4276          0        129          0         16      53,99       1,36       16,7       2,28       1386       3026       2918         95         11          0       1812        178       4286        119         16       2,09
 34      45108       4717          0        154          0         20      53,99       1,37       16,8       2,28       1563       3318       3189        114         13          0       2057        203       4727        144         20       2,13
 35      44615       5169          0        188          0         26      53,99       1,37       17,3       2,22       1753       3621       3461        141         18          0       2319        230       5179        178         26       2,10
 36      44093       5651          0        224          0         31      53,99       1,38       17,5       2,20       1958       3938       3748        168         21          0       2602        258       5661        214         31       2,09
 37      43551       6146          0        264          0         36      53,99       1,39       17,7       2,16       2175       4263       4038        199         24          0       2918        290       6156        254         36       2,07
 38      42980       6660          0        314          0         43      53,99       1,40       18,0       2,16       2405       4604       4337        236         29          0       3226        322       6670        304         43       2,08
 39      42388       7189          0        370          0         51      53,99       1,40       18,3       2,17       2646       4954       4641        278         34          0       3575        359       7199        360         51       2,10
 40      41781       7724          0        432          0         60      54,00       1,40       18,6       2,14       2906       5301       4936        325         39          0       3930        393       7734        422         60       2,09
 41      41164       8258          0        506          0         70      54,00       1,41       18,9       2,10       3178       5646       5219        380         46          0       4316        432       8268        496         70       2,05
 42      40545       8778          0        592          0         82      54,00       1,41       19,2       2,04       3459       5984       5486        444         52          0       4711        473       8788        582         82       2,00
 43      39928       9289          0        686          0         95      54,00       1,42       19,4       2,02       3754       6307       5734        512         60          0       5127        515       9299        676         95       1,99
 44      39333       9764          0        791          0        109      54,00       1,42       19,6       2,01       4049       6607       5952        587         67          0       5548        556       9774        781        109       1,98
 45      38755      10213          0        905          0        126      54,01       1,42       19,8       1,98       4348       6886       6143        666         76          0       5990        601      10223        895        126       1,95
 46      38194      10628          0       1033          0        144      54,01       1,43       20,0       1,95       4656       7139       6296        755         87          0       6436        649      10638       1023        144       1,93
 47      37667      10993          0       1173          0        165      54,01       1,43       20,2       1,94       4959       7363       6411        853         99          0       6881        694      11003       1163        165       1,91
 48      37172      11312          0       1327          0        187      54,01       1,43       20,3       1,94       5262       7554       6484        959        110          0       7322        741      11322       1317        187       1,92
 49      36715      11575          0       1499          0        209      54,02       1,44       20,5       1,92       5557       7716       6516       1079        121          0       7746        783      11585       1489        209       1,90
 50      36291      11778          0       1693          0        235      54,02       1,44       20,7       1,90       5847       7850       6504       1212        133          0       8144        824      11788       1683        235       1,88
 51      35903      11927          0       1905          0        263      54,02       1,45       20,9       1,87       6131       7955       6450       1357        147          0       8499        860      11937       1895        263       1,85
 52      35549      12025          0       2132          0        292      54,03       1,45       21,1       1,84       6400       8039       6363       1513        161          0       8821        892      12035       2122        292       1,83
 53      35222      12072          0       2381          0        324      54,03       1,45       21,2       1,81       6659       8107       6249       1682        175          0       9102        919      12082       2371        324       1,80
 54      34919      12080          0       2645          0        355      54,04       1,46       21,4       1,78       6907       8163       6114       1860        188          0       9333        941      12090       2635        355       1,77
