Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\20_gi_30_25m1_15m2\s001.log                           30,20   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s002.log                            7,89   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s003.log                            5,65   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s004.log                           24,42   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s005.log                           26,04   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s006.log                           30,46   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s007.log                           17,05   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s008.log                            5,75   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s009.log                           12,02   1 ok
F:\Contagio\20_gi_30_25m1_15m2\s010.log                           39,87   1 
------------------------------------------------------------ ---------- --- --
                                           2 x      19,93  =      39,87
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,96       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19979         20          0          0          0          0      53,98       0,47        0,0       0,00          1          9          9          0          0          0          0          0         10          0          0       0,00
  5      19975         24          0          0          0          0      53,98       0,56        0,4       0,11          2         12         12          0          0          0          0          0         14          0          0       0,00
  6      19972         27          0          0          0          0      53,98       0,61        0,4       0,11          2         15         15          0          0          0          0          0         17          0          0       0,00
  7      19961         38          0          0          0          0      53,98       0,70        0,4       0,11          4         24         24          0          0          0          0          0         29          0          0       0,00
  8      19938         61          0          0          0          0      53,99       0,76        0,4       0,11          6         44         44          0          0          0          0          0         51          0          0       0,00
  9      19926         73          0          0          0          0      53,98       0,80        1,3       0,11          8         55         55          0          0          0          0          0         64          0          0       0,00
 10      19900         99          0          0          0          0      53,99       0,87        1,4       0,11         12         76         76          0          0          0          0          0         89          0          0       0,00
 11      19877        122          0          0          0          0      53,99       0,96        1,4       0,11         18         94         94          0          0          0         10          1        112          0          0       0,00
 12      19835        163          0          0          0          0      53,99       0,98        1,4       0,06         23        131        130          0          0          0         14          1        154          0          0       0,00
 13      19801        198          0          0          0          0      53,99       1,01        1,4       0,06         31        157        157          0          0          0         17          1        188          0          0       0,00
 14      19767        232          0          0          0          0      53,99       1,05        4,3       0,44         43        179        179          0          0          0         29          3        222          0          0       0,00
 15      19727        270          0          1          0          0      53,99       1,09        6,0       0,61         58        203        203          0          0          0         50          5        261          0          0       0,00
 16      19678        319          0          1          0          0      53,99       1,12        8,3       1,25         75        236        235          0          0          0         63          6        310          0          0       0,85
 17      19628        368          0          2          0          0      53,99       1,15        9,6       2,02         93        268        266          0          0          0         88          8        359          1          0       1,24
 18      19566        430          0          2          0          0      53,99       1,17       11,6       2,11        114        309        307          0          0          0        111         11        421          1          0       1,15
 19      19491        504          0          3          0          0      54,00       1,21       12,4       2,77        133        364        362          1          0          0        151         15        495          1          0       1,71
 20      19411        583          0          4          0          0      54,00       1,23       12,3       2,40        153        424        421          2          0          0        185         19        575          2          0       1,84
 21      19330        661          0          6          0          1      54,00       1,24       12,1       2,19        181        477        472          3          1          0        218         21        653          4          1       1,64
 22      19254        736          0          7          0          1      53,99       1,27       12,4       2,07        215        520        514          4          1          0        255         25        729          5          1       1,66
 23      19170        817          0         10          0          1      53,99       1,31       12,9       2,80        245        574        566          6          1          0        302         29        810          7          1       2,89
 24      19060        925          0         12          0          2      53,99       1,34       13,8       3,65        282        647        637          7          1          0        350         33        918          9          2       4,33
 25      18937       1043          0         17          0          2      53,99       1,36       14,2       3,20        326        727        713         11          2          0        407         39       1037         13          2       3,53
 26      18798       1175          0         22          0          3      53,99       1,37       14,4       2,90        369        822        804         15          2          0        476         44       1169         18          3       3,21
 27      18661       1306          0         28          0          3      54,00       1,38       14,9       2,65        416        911        889         20          2          0        551         50       1301         23          3       2,79
