--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.5
16/04/2020 12:49:13
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_30_25m1_15m2
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          660
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      54,03       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      54,04       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      54,04       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49986         14          0          0          0          0      53,99       1,07        0,0       0,00          1          3          3          0          0          0          0          0         14          0          0       0,00
  5      49982         18          0          0          0          0      53,99       1,55        0,0       0,00          4          4          4          0          0          0          0          0         18          0          0       0,00
  6      49975         25          0          0          0          0      53,97       1,24        0,0       0,00          6          9          9          0          0          0          0          0         25          0          0       0,00
  7      49968         32          0          0          0          0      53,98       1,01        0,0       0,00          6         16         16          0          0          0          0          0         32          0          0       0,00
  8      49916         84          0          0          0          0      53,96       0,75        0,0       0,00          7         67         67          0          0          0          0          0         84          0          0       0,00
  9      49889        111          0          0          0          0      53,96       0,61        0,0       0,00         11         90         90          0          0          0          0          0        111          0          0       0,00
 10      49860        140          0          0          0          0      53,97       0,55        0,0       0,00         15        115        115          0          0          0          0          0        140          0          0       0,00
 11      49822        178          0          0          0          0      53,99       0,59        0,0       0,00         18        150        150          0          0          0          4          0        178          0          0       0,00
 12      49773        227          0          0          0          0      53,99       0,71        0,0       0,00         30        187        187          0          0          0          8          0        227          0          0       0,00
 13      49706        294          0          0          0          0      54,00       0,76        0,0       0,00         45        239        239          0          0          0         15          1        294          0          0       0,00
 14      49609        391          0          0          0          0      54,00       0,85        0,0       0,00         55        326        326          0          0          0         22          1        391          0          0       0,00
 15      49518        482          0          0          0          0      54,01       0,81        0,0       0,00         65        407        407          0          0          0         74          7        482          0          0       0,00
 16      49440        560          0          0          0          0      54,01       0,94        0,0       0,00         93        457        457          0          0          0        101          9        560          0          0       0,00
 17      49307        693          0          0          0          0      54,01       1,02        0,0       0,00        127        556        556          0          0          0        130         11        693          0          0       0,00
 18      49226        773          0          1          0          0      54,00       1,07        9,0       0,00        165        599        598          1          0          0        167         14        773          1          0       0,00
 19      49120        879          0          1          0          0      54,00       1,15        9,0       0,00        211        659        658          1          0          0        216         19        879          1          0       0,00
 20      49015        979          0          6          0          0      54,00       1,21        9,2       1,00        259        716        710          6          0          0        280         27        979          6          0       1,00
