Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1         40          0          0          0          0          0          0          0          0
  2         40          0          0          0          0          0          0          0          0
  3         40          0          0          0          0          0          0          0          0
  4         40          0          0          0          0          0          0          0          0
  5         40          0          0          0          0          0          0          0          0
  6         40          0          0          0          0          0          0          0          0
  7         40          0          0          0          0          0          0          0          0
  8         40          0          0          0          0          0          0          0          0
  9         40          0          0          0          0          0          0          0          0
 10         40          0          0          0          0          0          0          0          0
 11         40          0          0          0          0          0          0          0          0
 12         40          0          0          0          0          0          0          0          0
 13         40          0          0          0          0          0          0          0          0
 14         40          0          0          0          0          0          0          0          0
 15         40          0          0          0          0          0          0          0          0
 16         40          0          0          0          0          0          0          0          0
 17         40          0          0          0          0          0          0          0          0
 18         40          0          0          0          0          0          0          0          0
 19         40          0          0          0          0          0          0          0          0
 20         40          0          0          0          0          0          0          0          0
 21         40          0          0          0          0          0          0          0          0
 22         40          0          0          0          0          0          0          0          0
 23         40          0          0          0          0          0          0          0          0
 24         40          0          0          0          0          0          0          0          0
 25         40          0          0          0          0          0          0          0          0
 26         40          0          0          0          0          0          0          0          0
 27         40          0          0          0          0          0          0          0          0
 28         40          0          0          0          0          0          0          0          0
 29         40          0          0          0          0          0          0          0          0
 30         40          0          0          0          0          0          0          0          0
 31         40          0          0          0          0          0          0          0          0
 32         40          0          0          0          0          0          0          0          0
 33         40          0          0          0          0          0          0          0          0
 34         40          0          0          0          0          0          0          0          0
 35         40          0          0          0          0          0          0          0          0
 36         40          0          0          0          0          0          0          0          0
 37         40          0          0          0          0          0          0          0          0
 38         40          0          0          0          0          0          0          0          0
 39         40          0          0          0          0          0          0          0          0
 40         40          0          0          0          0          0          0          0          0
 41         40          0          0          0          0          0          0          0          0
 42         40          0          0          0          0          0          0          0          0
 43         40          0          0          0          0          0          0          0          0
 44         40          0          0          0          0          0          0          0          0
 45         40          0          0          0          0          0          0          0          0
 46         40          0          0          0          0          0          0          0          0
 47         40          0          0          0          0          0          0          0          0
 48         39          1          0          0          0          0          0          0          0
 49         38          2          0          0          0          0          0          0          0
 50         37          3          0          0          0          0          0          0          0
 51         37          3          0          0          0          0          0          0          0
 52         37          3          0          0          0          0          0          0          0
 53         37          3          0          0          0          0          0          0          0
 54         37          3          0          0          0          0          0          0          0
 55         37          3          0          0          0          0          0          0          0
 56         37          3          0          0          0          0          0          0          0
 57         37          3          0          0          0          0          0          0          0
 58         37          3          0          0          0          0          0          0          0
 59         37          3          0          0          0          0          0          0          0
 60         37          3          0          0          0          0          0          0          0
 61         37          3          0          0          0          0          0          0          0
 62         37          3          0          0          0          0          0          0          0
 63         37          3          0          0          0          0          0          0          0
 64         37          3          0          0          0          0          0          0          0
 65         37          2          0          1          0          0          0          0          0
 66         37          2          0          1          0          0          0          0          0
 67         37          2          0          1          0          0          0          0          0
 68         37          2          0          1          0          0          0          0          0
 69         37          2          0          1          0          0          0          0          0
 70         37          2          0          1          0          0          0          0          0
 71         37          2          0          1          0          0          0          0          0
 72         37          2          0          1          0          0          0          0          0
 73         37          2          0          1          0          0          0          0          0
 74         37          2          0          1          0          0          0          0          0
 75         37          2          0          1          0          0          0          0          0
 76         37          2          0          1          0          0          0          0          0
 77         37          2          0          1          0          0          0          0          0
 78         37          1          0          2          0          0          0          0          0
 79         37          1          0          2          0          0          0          0          0
 80         37          1          0          2          0          0          0          0          0
 81         37          0          0          3          0          0          0          0          0
 82         37          0          0          3          0          0          0          0          0
 83         36          1          0          3          0          0          0          0          0
 84         36          1          0          3          0          0          0          0          0
 85         36          1          0          3          0          0          0          0          0
 86         36          1          0          3          0          0          0          0          0
 87         36          1          0          3          0          0          0          0          0
 88         36          1          0          3          0          0          0          0          0
 89         36          1          0          3          0          0          0          0          0
 90         36          1          0          3          0          0          0          0          0
 91         36          1          0          3          0          0          0          0          0
 92         36          1          0          3          0          0          0          0          0
 93         36          1          0          3          0          0          0          0          0
 94         36          1          0          3          0          0          0          0          0
 95         36          1          0          3          0          0          0          0          0
 96         36          1          0          3          0          0          0          0          0
 97         36          1          0          3          0          0          0          0          0
 98         36          1          0          3          0          0          0          0          0
 99         36          1          0          3          0          0          0          0          0
100         36          1          0          3          0          0          0          0          0
101         36          1          0          3          0          0          0          0          0
102         36          1          0          3          0          0          0          0          0
103         36          1          0          3          0          0          0          0          0
104         36          1          0          3          0          0          0          0          0
105         36          1          0          3          0          0          0          0          0
106         36          1          0          3          0          0          0          0          0
107         36          1          0          3          0          0          0          0          0
108         36          1          0          3          0          0          0          0          0
109         36          1          0          3          0          0          0          0          0
110         36          1          0          3          0          0          0          0          0
111         36          1          0          3          0          0          0          0          0
112         36          1          0          3          0          0          0          0          0
113         36          1          0          3          0          0          0          0          0
114         36          0          0          4          0          0          0          0          0
115         36          0          0          4          0          0          0          0          0
116         36          0          0          4          0          0          0          0          0
117         36          0          0          4          0          0          0          0          0
118         36          0          0          4          0          0          0          0          0
119         36          0          0          4          0          0          0          0          0
120         36          0          0          4          0          0          0          0          0
