--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 10:48:58
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_0_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.868
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            5 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,51       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49977         23          0          0          0          0      53,65       0,32        0,0       0,00          0         13         13          0          0          0          0          0         10          0          0       0,00
  5      49968         32          0          0          0          0      53,66       0,47        0,0       0,00          0         22         22          0          0          0          0          0         16          0          0       0,00
  6      49956         44          0          0          0          0      53,64       0,34        0,0       0,00          1         33         33          0          0          0          0          0         27          0          0       0,00
  7      49926         74          0          0          0          0      53,65       0,40        0,0       0,00          1         63         63          0          0          0          0          0         53          0          0       0,00
  8      49887        113          0          0          0          0      53,64       0,44        0,0       0,00          6         97         97          0          0          0          2          0         83          0          0       0,00
  9      49858        142          0          0          0          0      53,65       0,45        0,0       0,00         14        118        118          0          0          0          2          0        100          0          0       0,00
 10      49840        160          0          0          0          0      53,65       0,45        0,0       0,00         16        134        134          0          0          0          2          0        108          0          0       0,00
 11      49811        189          0          0          0          0      53,64       0,52        0,0       0,00         23        156        156          0          0          0         10          0        125          0          0       0,00
 12      49774        226          0          0          0          0      53,65       0,60        0,0       0,00         30        186        186          0          0          0         16          1        142          0          0       0,00
 13      49726        274          0          0          0          0      53,66       0,65        0,0       0,00         37        227        227          0          0          0         27          3        163          0          0       0,00
 14      49676        322          0          2          0          0      53,66       0,67       10,0       1,00         41        273        272          1          0          0         52          6        185          1          0       1,00
 15      49620        376          0          4          0          0      53,65       0,71        8,3       1,75         53        317        315          2          0          0         81          8        202          2          0       3,00
 16      49559        436          0          5          0          0      53,64       0,71        8,2       1,60         67        364        361          3          0          0         97         11        232          3          0       2,33
 17      49489        505          0          6          0          0      53,64       0,72        8,3       1,83         86        415        411          4          0          0        105         11        260          3          0       2,33
 18      49407        586          0          7          0          0      53,65       0,74        8,4       1,57        104        479        475          4          0          0        121         11        295          4          0       1,75
 19      49330        661          0          9          0          0      53,65       0,77        9,0       1,22        126        534        529          5          0          0        138         12        323          4          0       1,75
 20      49236        755          0          9          0          0      53,65       0,77        9,0       1,22        153        601        596          5          0          0        159         15        374          4          0       1,75
