--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:02:19
--------------------------------------------------------------------------------------------------
Carpeta P50_40_25R1_R2_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.877
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            0 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,55       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,60       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49988         12          0          0          0          0      53,61       0,17        0,0       0,00          2          0          0          0          0          0          0          0          2          0          0       0,00
  5      49986         14          0          0          0          0      53,58       0,52        0,0       0,00          4          0          0          0          0          0          0          0          3          0          0       0,00
  6      49986         14          0          0          0          0      53,60       0,69        0,0       0,00          4          0          0          0          0          0          0          0          3          0          0       0,00
  7      49985         15          0          0          0          0      53,63       0,72        0,0       0,00          5          0          0          0          0          0          0          0          4          0          0       0,00
  8      49984         16          0          0          0          0      53,63       0,78        0,0       0,00          6          0          0          0          0          0          2          0          4          0          0       0,00
  9      49981         19          0          0          0          0      53,63       0,76        0,0       0,00          9          0          0          0          0          0          2          0          6          0          0       0,00
 10      49981         19          0          0          0          0      53,63       0,74        0,0       0,00          9          0          0          0          0          0          2          0          6          0          0       0,00
 11      49980         20          0          0          0          0      53,64       0,78        0,0       0,00         10          0          0          0          0          0          2          0          7          0          0       0,00
 12      49980         20          0          0          0          0      53,65       0,84        0,0       0,00         10          0          0          0          0          0          3          0          7          0          0       0,00
 13      49978         22          0          0          0          0      53,66       0,98        0,0       0,00         12          0          0          0          0          0          3          0          9          0          0       0,00
 14      49977         23          0          0          0          0      53,64       0,93        0,0       0,00         13          0          0          0          0          0          4          0          9          0          0       0,00
 15      49976         24          0          0          0          0      53,64       0,96        0,0       0,00         14          0          0          0          0          0          4          0         10          0          0       0,00
 16      49975         25          0          0          0          0      53,64       0,95        0,0       0,00         15          0          0          0          0          0          6          0         10          0          0       0,00
 17      49975         25          0          0          0          0      53,63       0,96        0,0       0,00         15          0          0          0          0          0          6          0         10          0          0       0,00
 18      49972         28          0          0          0          0      53,63       0,96        0,0       0,00         18          0          0          0          0          0          7          0         12          0          0       0,00
 19      49968         32          0          0          0          0      53,63       0,99        0,0       0,00         19          3          3          0          0          0          7          0         15          0          0       0,00
 20      49964         35          0          1          0          0      53,63       0,98       13,0       0,00         21          5          5          0          0          0          8          1         15          1          0       0,00
