--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.6
17/04/2020 23:51:59
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_40_25m1_15m2
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          655
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            4 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,90       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,91       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49982         18          0          0          0          0      53,96       0,27        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      49976         24          0          0          0          0      54,01       0,43        0,0       0,00          1         13         13          0          0          0          0          0         24          0          0       0,00
  6      49969         31          0          0          0          0      54,01       0,48        0,0       0,00          1         20         20          0          0          0          0          0         31          0          0       0,00
  7      49946         54          0          0          0          0      54,02       0,94        0,0       0,00          5         39         39          0          0          0          0          0         54          0          0       0,00
  8      49918         82          0          0          0          0      54,01       0,87        0,0       0,00          6         66         66          0          0          0          0          0         82          0          0       0,00
  9      49885        115          0          0          0          0      54,01       0,99        0,0       0,00          7         98         98          0          0          0          0          0        115          0          0       0,00
 10      49822        178          0          0          0          0      54,01       1,10        0,0       0,00         14        154        154          0          0          0          0          0        178          0          0       0,00
 11      49751        249          0          0          0          0      54,01       1,14        0,0       0,00         21        218        218          0          0          0          8          0        249          0          0       0,00
 12      49679        321          0          0          0          0      54,02       1,16        0,0       0,00         33        278        278          0          0          0         14          0        321          0          0       0,00
 13      49577        423          0          0          0          0      54,01       1,09        0,0       0,00         50        363        363          0          0          0         21          0        423          0          0       0,00
 14      49509        491          0          0          0          0      54,02       1,12        0,0       0,00         75        406        406          0          0          0         44          2        491          0          0       0,00
 15      49421        579          0          0          0          0      54,02       1,17        0,0       0,00        105        464        464          0          0          0         72          2        579          0          0       0,00
 16      49309        689          0          2          0          0      54,00       1,18        6,0       0,50        133        548        546          2          0          0        104          3        689          2          0       0,50
 17      49251        747          0          2          0          0      53,99       1,27        6,0       0,50        169        570        568          2          0          0        167          9        747          2          0       0,50
 18      49139        859          0          2          0          0      54,00       1,34        6,0       0,50        219        632        630          2          0          0        237         18        859          2          0       0,50
 19      48939       1057          0          4          0          0      53,99       1,33        6,3       1,25        265        786        782          4          0          0        308         23       1057          4          0       1,25
 20      48801       1194          0          5          0          0      54,00       1,33        6,8       1,00        322        867        862          5          0          0        409         29       1194          5          0       1,00
 21      48564       1428          0          8          0          0      53,99       1,33        8,9       2,50        378       1048       1040          8          0          0        473         36       1428          8          0       2,50
 22      48324       1665          0         11          0          0      53,99       1,34       10,3       3,55        445       1221       1211         10          0          0        558         42       1665         11          0       3,55
 23      48085       1899          0         16          0          0      53,99       1,33       10,5       2,94        519       1386       1371         15          0          0        665         50       1899         16          0       2,94
 24      47889       2090          0         21          0          0      53,99       1,35       11,4       2,71        608       1493       1474         19          0          0        718         54       2090         21          0       2,71
 25      47630       2342          0         27          0          1      53,99       1,37       11,9       2,36        705       1655       1631         24          0          0        823         65       2342         27          1       2,36
 26      47303       2657          0         38          0          2      53,99       1,36       13,0       3,23        809       1878       1844         33          1          0       1012         92       2658         37          2       3,31
 27      47031       2917          0         48          0          4      53,99       1,37       13,3       2,98        926       2033       1990         40          3          0       1138        108       2918         47          4       3,04
 28      46775       3160          0         61          0          4      53,99       1,39       13,6       3,43       1039       2176       2123         50          3          0       1364        126       3162         59          4       3,32
 29      46395       3522          0         79          0          4      53,99       1,42       14,2       2,94       1203       2392       2326         63          3          0       1587        145       3525         76          4       2,88
 30      45955       3937          0        101          0          7      53,99       1,43       14,8       2,96       1363       2672       2584         84          4          0       1802        170       3940         98          7       2,91
 31      45548       4326          0        118          0          8      54,00       1,43       15,3       2,83       1539       2903       2800         98          5          0       1979        186       4329        115          8       2,78
 32      45086       4751          0        150          0         13      54,00       1,43       16,6       2,92       1703       3201       3073        119          9          0       2208        211       4761        140         13       2,65
