--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.5
06/04/2020 14:25:12
--------------------------------------------------------------------------------------------------
Prefijo 50CRB30
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            3 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,43       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,43       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,41       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49982         18          0          0          0          0      56,39       0,06        0,0       0,00          1          7          7          0          0          0          0          0
  5      49978         22          0          0          0          0      56,39       0,23        0,0       0,00          2         10         10          0          0          0          0          0
  6      49972         28          0          0          0          0      56,36       0,29        0,0       0,00          2         16         16          0          0          0          0          0
  7      49954         46          0          0          0          0      56,34       0,34        0,0       0,00          3         33         33          0          0         10          1          0
  8      49931         69          0          0          0          0      56,35       0,42        0,0       0,00          5         54         54          0          0         10          1          0
  9      49905         95          0          0          0          0      56,35       0,46        0,0       0,00          6         79         79          0          0         10          1          0
 10      49854        146          0          0          0          0      56,35       0,68        0,0       0,00         14        122        122          0          0         18          2          0
 11      49818        182          0          0          0          0      56,35       0,81        0,0       0,00         19        153        153          0          0         22          2          0
 12      49760        240          0          0          0          0      56,35       0,88        0,0       0,00         24        206        206          0          0         28          2          0
 13      49697        302          0          1          0          0      56,36       0,98        9,0       7,00         34        259        258          1          0         45          3          0
 14      49643        356          0          1          0          0      56,36       0,97        9,0       7,00         43        304        303          1          0         68          4          0
 15      49574        425          0          1          0          0      56,35       1,05        9,0       7,00         60        356        355          1          0         94          8          0
 16      49472        526          0          2          0          0      56,33       1,06       12,0       4,00         85        433        432          1          0        144         10          0
 17      49362        636          0          2          0          0      56,33       1,06       12,0       4,00        110        518        517          1          0        180         13          0
 18      49192        805          0          3          0          0      56,33       1,05       11,3       3,00        129        669        667          2          0        237         21          0
 19      49072        922          0          6          0          0      56,33       1,09       11,5       2,50        162        756        753          3          0        298         31          0
 20      48968       1026          0          6          0          0      56,34       1,15       11,5       2,50        193        829        826          3          0        351         35          0
 21      48840       1151          0          9          0          0      56,34       1,24       11,2       1,89        248        902        896          6          0        417         41          0
 22      48724       1264          0         12          0          0      56,34       1,33       11,6       4,00        304        962        955          7          0        516         48          0
